"128","大湖鄉","2013","74676","67968","205406","537556"
"129","大溪區","2013","6594869","4818595","7440315","6823540"
"131","大甲區","2013","3374017","2400839","2761445","4390939"
"132","大社區","2013","1837973","3952988","4575567","3921683"
"133","大肚區","2013","3989712","2486071","2654072","1462192"
"134","大里區","2013","20309492","16258475","23149803","18274190"
"135","大雅區","2013","6519376","5695995","7484170","6792119"
"136","太保市","2013","0","0","0","0"
"137","太平區","2013","55738314","21144268","32980924","44782377"
"138","太麻里鄉","2013","195926","298233","188886","146985"
"140","學甲區","2013","437376","332755","610213","456614"
"141","安南區","2013","21725361","27888412","31107275","19607010"
"142","安定區","2013","303798","447726","1004560","385632"
"143","安平區","2013","22801794","11899601","14632509","10200159"
"144","安樂區","2013","9301253","7904861","12606189","11518797"
"145","官田區","2013","269703","262294","260226","264486"
"146","宜蘭市","2013","0","0","0","0"
"147","富里鄉","2013","39211","45758","127443","51095"
"148","寶山鄉","2013","562837","355199","681955","286834"
"149","將軍區","2013","57313","30489","47869","133296"
"151","小港區","2013","9024428","10115487","12706517","9335807"
"154","尖石鄉","2013","0","0","125825","0"
"155","屏東市","2013","0","0","0","0"
"156","山上區","2013","117813","44680","128098","26325"
"157","岡山區","2013","45273895","4772595","6516912","6918195"
"158","峨眉鄉","2013","56838","0","13693","0"
"159","崁頂鄉","2013","85155","133691","214231","25889"
"160","崙背鄉","2013","541325","151019","79978","271849"
"161","左營區","2013","37571337","33267403","46425211","29217381"
"162","左鎮區","2013","0","12346","0","0"
"163","布袋鎮","2013","155261","39766","153238","124198"
"164","平溪區","2013","7250","0","11500","11500"
"165","平鎮區","2013","31334339","45616295","56502692","29606321"
"167","延平鄉","2013","465","0","360","0"
"168","彌陀區","2013","102925","78699","170062","583997"
"169","彰化市","2013","0","0","0","0"
"170","後壁區","2013","55980","52727","75332","17883"
"171","後龍鎮","2013","1253081","1544948","1961695","1007316"
"173","復興區","2013","0","5332","21272","17877"
"174","恆春鎮","2013","1222159","1405479","1894212","1092587"
