雲林縣,斗南鎮,777,1,1013
臺南市,新化區,503,1,675
屏東縣,新園鄉,84,1,93
花蓮縣,新城鄉,282,1,377
新竹縣,新埔鎮,497,1,604
屏東縣,新埤鄉,15,1,21
桃園市,新屋區,508,1,629
臺南市,新市,3,0,1
臺南市,新市區,704,0,921
新北市,新店區,2449,1,3182
嘉義縣,新港鄉,299,1,387
臺南市,新營區,724,1,928
臺中市,新社區,160,0,202
高雄市,新興區,1772,1,2347
新北市,新莊區,1907,1,2616
新竹縣,新豐鄉,866,1,1126
高雄市,旗山區,492,1,672
高雄市,旗津區,159,1,251
基隆市,暖暖區,204,1,269
澎湖縣,望安鄉,2,0,4
嘉義縣,朴子市,652,0,859
高雄市,杉林區,53,0,79
臺中市,東勢區,330,1,443
雲林縣,東勢鄉,133,1,169
新竹市,東區,7719,1,9873
臺南市,東山區,98,1,128
臺東縣,東河鄉,70,0,100
屏東縣,東港鎮,166,1,226
嘉義縣,東石鄉,178,1,243
臺北市,松山區,1214,1,1620
新北市,板橋區,4542,1,6349
屏東縣,枋寮鄉,91,1,127
屏東縣,枋山鄉,47,2,79
雲林縣,林內鄉,117,0,159
新北市,林口區,609,1,740
高雄市,林園區,854,1,1196
屏東縣,林邊鄉,32,1,41
臺南市,柳營區,178,1,248
桃園市,桃園區,6605,1,8779
高雄市,桃源區,5,0,8
嘉義縣,梅山鄉,160,1,195
高雄市,梓官區,350,0,472
臺中市,梧棲區,866,1,1113
桃園市,楊梅區,1535,0,1914
高雄市,楠梓區,2890,1,4011
臺南市,楠西區,27,1,33
新北市,樹林區,975,1,1308
高雄市,橋頭區,915,1,1267
新竹縣,橫山鄉,151,0,186
臺南市,歸仁區,404,1,553
嘉義縣,民雄鄉,1417,1,2007
嘉義縣,水上鄉,660,1,854
雲林縣,水林鄉,212,1,257
南投縣,水里鄉,175,0,220
新北市,永和區,2315,0,3252
高雄市,永安區,132,1,172
臺南市,永康區,2974,0,4090
彰化縣,永靖鄉,435,1,586
新北市,汐止區,1431,1,1848
臺東縣,池上鄉,82,0,107
臺中市,沙鹿區,1957,1,2641
苗栗縣,泰安鄉,10,0,12
新北市,泰山區,975,2,1301
臺東縣,海端鄉,13,0,21
新北市,淡水區,1381,1,1801
新北市,深坑區,105,0,140
臺中市,清水區,902,1,1217
高雄市,湖內區,523,1,741
新竹縣,湖口鄉,1632,1,2116
澎湖縣,湖西鄉,81,1,127
嘉義縣,溪口鄉,91,1,111
彰化縣,溪州鄉,312,1,422
彰化縣,溪湖鎮,751,0,934
屏東縣,滿州鄉,11,1,13
臺中市,潭子區,1371,1,1802
屏東縣,潮州鎮,195,0,257
金門縣,烈嶼鄉,9,1,14
新北市,烏來區,19,0,29
臺中市,烏日區,1387,0,1853
高雄市,燕巢區,721,1,940
屏東縣,牡丹鄉,4,0,3
屏東縣,獅子鄉,9,1,9
苗栗縣,獅潭鄉,21,1,21
臺南市,玉井區,60,0,75
花蓮縣,玉里鎮,188,1,236
屏東縣,琉球鄉,10,0,18
花蓮縣,瑞穗鄉,101,1,153
新北市,瑞芳區,232,1,285
屏東縣,瑪家鄉,7,1,10
彰化縣,田中鎮,356,0,443
高雄市,田寮區,58,1,72
彰化縣,田尾鄉,287,0,387
高雄市,甲仙區,5,0,5
嘉義縣,番路鄉,155,1,204
澎湖縣,白沙鄉,31,1,55
臺南市,白河區,161,1,196
臺中市,石岡區,139,0,182
新北市,石碇區,157,1,184
新北市,石門區,36,1,57
宜蘭縣,礁溪鄉,636,1,825
彰化縣,社頭鄉,343,0,452
臺中市,神岡區,994,1,1302
彰化縣,福興鄉,473,1,627
花蓮縣,秀林鄉,160,1,220
彰化縣,秀水鄉,423,0,572
新竹縣,竹北市,3443,1,4291
苗栗縣,竹南鎮,1168,1,1530
彰化縣,竹塘鄉,90,1,111
南投縣,竹山鎮,590,1,750
嘉義縣,竹崎鄉,330,1,410
新竹縣,竹東鎮,1378,1,1766
屏東縣,竹田鄉,57,1,69
臺東縣,綠島鄉,17,0,30
彰化縣,線西鄉,145,1,198
宜蘭縣,羅東鎮,1018,0,1341
高雄市,美濃區,256,1,362
嘉義縣,義竹鄉,122,1,149
臺東縣,臺東市,1437,1,1984
雲林縣,臺西鄉,70,0,89
新竹縣,芎林鄉,285,1,341
彰化縣,芬園鄉,293,1,375
彰化縣,花壇鄉,850,1,1083
花蓮縣,花蓮市,2364,0,3078
