屏東縣,泰武鄉,4
臺東縣,海端鄉,2
新北市,淡水區,226
新北市,深坑區,42
臺中市,清水區,117
高雄市,湖內區,49
新竹縣,湖口鄉,274
澎湖縣,湖西鄉,2
嘉義縣,溪口鄉,13
彰化縣,溪州鄉,35
彰化縣,溪湖鎮,62
屏東縣,滿州鄉,9
臺中市,潭子區,147
屏東縣,潮州鎮,182
金門縣,烈嶼鄉,3
新北市,烏來區,12
金門縣,烏坵鄉,1
臺中市,烏日區,139
高雄市,燕巢區,79
屏東縣,牡丹鄉,1
屏東縣,獅子鄉,6
苗栗縣,獅潭鄉,8
臺南市,玉井區,26
花蓮縣,玉里鎮,70
屏東縣,琉球鄉,4
花蓮縣,瑞穗鄉,22
新北市,瑞芳區,101
屏東縣,瑪家鄉,16
彰化縣,田中鎮,47
高雄市,田寮區,7
彰化縣,田尾鄉,43
高雄市,甲仙區,10
嘉義縣,番路鄉,12
澎湖縣,白沙鄉,7
臺南市,白河區,43
臺中市,石岡區,15
新北市,石碇區,7
新北市,石門區,31
宜蘭縣,礁溪鄉,125
彰化縣,社頭鄉,53
臺中市,神岡區,60
彰化縣,福興鄉,64
花蓮縣,秀林鄉,48
彰化縣,秀水鄉,37
新竹縣,竹北市,339
苗栗縣,竹南鎮,201
彰化縣,竹塘鄉,8
南投縣,竹山鎮,115
嘉義縣,竹崎鄉,25
新竹縣,竹東鎮,236
屏東縣,竹田鄉,29
彰化縣,線西鄉,14
宜蘭縣,羅東鎮,207
高雄市,美濃區,100
嘉義縣,義竹鄉,7
新竹縣,芎林鄉,42
彰化縣,芬園鄉,35
彰化縣,花壇鄉,46
花蓮縣,花蓮市,307
彰化縣,芳苑鄉,36
苗栗縣,苑裡鎮,35
高雄市,苓雅區,305
苗栗縣,苗栗市,140
高雄市,茂林區,3
高雄市,茄萣區,59
南投縣,草屯鎮,140
雲林縣,莿桐鄉,46
屏東縣,萬丹鄉,147
屏東縣,萬巒鄉,47
花蓮縣,萬榮鄉,17
臺北市,萬華區,760
新北市,萬里區,32
新北市,蘆洲區,513
桃園市,蘆竹區,290
宜蘭縣,蘇澳鎮,81
臺東縣,蘭嶼鄉,1
雲林縣,虎尾鎮,132
雲林縣,褒忠鄉,23
嘉義市,西區,494
臺中市,西屯區,360
澎湖縣,西嶼鄉,6
臺南市,西港區,37
苗栗縣,西湖鄉,3
雲林縣,西螺鎮,68
桃園市,觀音區,167
臺中市,豐原區,259
花蓮縣,豐濱鄉,1
新北市,貢寮區,14
高雄市,路竹區,78
屏東縣,車城鄉,34
苗栗縣,通霄鎮,40
苗栗縣,造橋鄉,36
臺東縣,達仁鄉,12
屏東縣,里港鄉,31
金門縣,金城鎮,26
金門縣,金寧鄉,11
新北市,金山區,39
金門縣,金沙鎮,10
金門縣,金湖鎮,28
苗栗縣,銅鑼鄉,18
屏東縣,長治鄉,69
臺東縣,長濱鄉,3
臺東縣,關山鎮,11
臺南市,關廟區,45
新竹縣,關西鎮,83
高雄市,阿蓮區,75
嘉義縣,阿里山鄉,8
南投縣,集集鎮,18
新北市,雙溪區,3
屏東縣,霧臺鄉,5
臺中市,霧峰區,107
苗栗縣,頭份市,228
宜蘭縣,頭城鎮,82
苗栗縣,頭屋鄉,12
新竹市,香山區,116
澎湖縣,馬公市,33
屏東縣,高樹鄉,50
南投縣,魚池鄉,27
高雄市,鳥松區,90
高雄市,鳳山區,357
花蓮縣,鳳林鎮,17
新北市,鶯歌區,177
屏東縣,鹽埔鄉,40
高雄市,鹽埕區,40
臺南市,鹽水區,17
彰化縣,鹿港鎮,102
嘉義縣,鹿草鄉,13
南投縣,鹿谷鄉,16
臺東縣,鹿野鄉,3
屏東縣,麟洛鄉,26
雲林縣,麥寮鄉,91
臺南市,麻豆區,45
高雄市,鼓山區,204
臺中市,龍井區,74
臺南市,龍崎區,3
桃園市,龍潭區,406
桃園市,龜山區,518
