鄉鎮市區名稱,0-14歲人口數,15-64歲人口數,65歲以上人口數,男性總數,女性總數,人口密度
安南區,27462,145182,20115,97182,95577,1793.107566
安樂區,9368,61825,11201,40775,41619,4569.098474
尖石鄉,1856,6974,808,5067,4571,18.08826916
成功鎮,1350,10109,2742,7455,6746,98.87918863
朴子市,5397,29365,7490,21321,20931,854.9291257
汐止區,20547,153763,25328,97315,102323,2798.061076
池上鄉,783,5704,1745,4292,3940,99.75158855
竹山鎮,5879,39007,9994,28117,26763,222.6140452
竹北市,42176,128310,14100,91891,92695,3885.096543
竹田鄉,1359,12406,3416,9137,8044,590.1655133
竹東鎮,13974,69750,12734,48425,48033,1811.101166
竹南鎮,14412,61630,9805,43341,42506,2278.722656
竹崎鄉,3291,25651,6839,19047,16734,221.6789459
竹塘鄉,1773,10128,3306,7989,7218,362.9210126
西屯區,36434,169040,22282,109262,118494,5697.912249
西區,21100,106042,20120,72114,75148,20270.50244
西區,16771,82177,16651,54874,60725,4931.201875
西港區,2509,18191,4047,12490,12257,733.2097398
西湖鄉,504,4938,1660,3966,3136,174.1658105
西嶼鄉,801,5894,1722,4339,4078,449.2700964
西螺鎮,6387,31743,8045,23338,22837,928.6223481
伸港鄉,5326,27191,4477,18882,18112,1655.275275
壯圍鄉,2151,18219,3913,12856,11427,630.2482788
杉林區,893,8359,2640,6499,5393,115.7459934
沙鹿區,16149,67205,9871,47035,46190,2289.76975
牡丹鄉,580,3772,645,2543,2454,27.09025576
秀水鄉,5485,28702,5055,20251,18991,1341.196196
秀林鄉,2610,11973,1319,8180,7722,9.677465526
芎林鄉,2079,14557,3436,10634,9438,491.8623639
車城鄉,794,6075,1812,4654,4027,172.2308367
那瑪夏區,597,2314,230,1614,1527,12.3522913
里港鄉,3181,18761,4338,13368,12912,383.9044236
佳冬鄉,1571,13699,3958,9999,9229,625.4800834
佳里區,6986,43261,9070,29415,29902,1524.82397
來義鄉,913,5720,795,3744,3684,44.49395502
卑南鄉,1777,12655,2902,9140,8194,42.16027106
卓溪鄉,954,4584,566,3350,2754,5.939413285
卓蘭鎮,1595,11887,3411,8856,8037,224.5159228
和平區,1266,8049,1782,5955,5142,10.55000717
和美鎮,12447,67098,11231,46139,44637,2278.380849
坪林區,497,4459,1583,3603,2936,38.21231012
官田區,2024,15645,3653,10877,10445,302.9579647
宜蘭市,13407,68687,13844,46744,49194,3261.629489
岡山區,12650,71072,13423,48179,48966,2030.136352
延平鄉,582,2770,307,1952,1707,7.789321982
東山區,1779,14296,4867,11116,9826,168.5028074
東引鄉,179,1064,107,805,545,355.7894737
東石鄉,2067,17121,5605,13122,11671,306.0597852
東河鄉,689,5954,1886,4729,3800,40.52032725
東區,43082,147322,23935,105440,108899,8164.449949
東區,16262,86761,18666,58549,63140,13927.14452
東區,9464,55840,10763,37852,38215,6330.353101
東區,26633,135082,24848,89381,97182,4049.098675
東港鎮,6552,34746,6502,24150,23650,1624.586353
東勢區,5567,35427,9483,25891,24586,431.9522343
東勢鄉,1218,10423,3287,8261,6667,307.9853256
松山區,30591,138248,37724,96902,109661,22286.0096
板橋區,73939,404046,74466,269540,282911,23835.10608
枋山鄉,479,4045,996,2936,2584,317.2029624
枋寮鄉,2271,17621,4594,12797,11689,425.5846138
林口區,18922,77899,10913,52428,55306,1959.321834
林內鄉,2068,12922,3273,9579,8684,484.7952983
林園區,8416,52450,9121,35338,34649,2167.812674
林邊鄉,1658,12672,3578,9167,8741,1157.245908
社頭鄉,5226,31316,6464,22109,20897,1193.640043
芬園鄉,2432,16954,4240,12416,11210,624.7961621
花蓮市,15478,73348,15045,50061,53810,3549.193288
花壇鄉,5442,34309,6116,23536,22331,1263.491522
芳苑鄉,3252,23183,7159,17741,15853,368.9319751
虎尾鎮,10080,50168,10626,35889,34985,1031.276367
金山區,2209,16331,3311,10788,11063,447.3393317
金沙鎮,1749,15916,2962,10217,10410,498.5433358
金城鎮,4501,33324,5478,21609,21694,1993.506194
金峰鄉,560,2829,344,1893,1840,9.596402072
金湖鎮,3072,22855,3564,14802,14689,705.4153876
金寧鄉,2731,24785,3401,15617,15300,1032.960407
長治鄉,2620,22344,4842,15534,14272,752.3422947
長濱鄉,578,4978,1696,4117,3135,46.78232942
阿里山鄉,732,4056,810,2943,2655,13.16124382
阿蓮區,3271,21204,4261,14509,14227,833.2466692
信義區,4866,39302,8037,25800,26405,20142.66977
信義區,27314,156271,40712,106994,117303,4876.483047
信義鄉,2364,12072,1818,8715,7539,11.42631129
前金區,2212,18726,5921,12801,14058,14532.38572
前鎮區,21178,137647,30142,92840,96127,9928.454502
南化區,760,6061,1940,4720,4041,51.23023698
南屯區,28098,126265,15217,81047,88533,5398.972416
南州鄉,880,7568,2197,5442,5203,562.4670532
南庄鄉,1032,7072,2038,5562,4580,61.48870834
南投市,12065,72202,15514,49935,49846,1399.120976
南竿鄉,971,5893,788,4310,3342,725.3846154
南區,17743,94040,13639,60228,65194,18364.92856
南區,12807,92429,19798,61882,63152,4598.560222
南港區,16344,87560,17954,59513,62345,5592.563088
南澳鄉,1168,4326,528,3118,2904,7.965954321
屏東市,23419,146736,29969,98835,101289,3080.701431
後壁區,1905,15853,5774,12230,11302,328.4181842
後龍鎮,4204,25868,6429,19330,17171,484.7779717
恆春鎮,4037,22387,4356,15802,14978,224.6660281
春日鄉,781,3577,536,2514,2380,30.41855988
柳營區,1818,15110,4343,11104,10167,348.5721837
美濃區,3263,26749,9747,20854,18905,333.0206379
苑裡鎮,4944,33533,7110,23756,21831,673.6676762
苓雅區,18604,120000,31744,81899,88449,20979.98086
苗栗市,11122,62877,14460,44184,44275,2353.39608
茂林區,299,1532,162,1003,990,9.917525773
茄萣區,2885,22307,4890,15480,14602,1917.030401
香山區,10724,58843,8564,39647,38484,1421.044283
員山鄉,3130,24020,5147,17125,15172,290.0350816
員林市,18559,88657,17402,61968,62650,3112.842799
埔心鄉,3932,25858,4944,17881,16853,1662.609891
埔里鎮,9071,58464,13153,40191,40497,499.517022
埔鹽鄉,3481,23387,5676,17111,15433,844.0456795
峨眉鄉,420,3757,1431,3074,2534,118.3308049
崁頂鄉,2780,10553,2223,7882,7674,502.7841834
桃園區,69668,327140,47270,215497,228581,12666.14183
桃源區,673,3324,320,2271,2046,4.570604319
泰山區,11915,58517,8380,39040,39772,4118.463698
泰安鄉,714,4569,791,3232,2842,9.573439247
泰武鄉,890,3979,520,2826,2563,44.43354189
海端鄉,733,3129,333,2233,1962,4.797519017
烈嶼鄉,944,10067,1802,6317,6496,793.6011998
烏日區,10909,55342,8726,37588,37389,1717.70745
烏來區,901,4620,817,3112,3226,19.68046645
烏坵鄉,83,534,69,347,339,570.8333333
琉球鄉,1300,9225,1847,6776,5596,1813.784586
神岡區,8880,48665,8104,33461,32188,1870.564568
草屯鎮,11076,71619,14782,49308,48169,940.8099569
貢寮區,817,8939,2657,6326,6087,125.5533972
馬公市,7115,46329,8741,31619,30566,1833.030319
高樹鄉,2034,16833,5620,13059,11428,273.1159084
國姓鄉,1540,13489,3716,10107,8638,107.0150856
埤頭鄉,3831,21349,5398,15820,14758,716.7585168
將軍區,1435,14163,4117,10060,9655,472.8248959
崙背鄉,2628,16860,5055,12958,11585,421.9615621
望安鄉,478,3754,1004,2833,2403,375.5514279
梅山鄉,1682,13389,4312,10299,9084,162.6208383
梓官區,3675,27170,5043,18477,17411,3114.33425
梧棲區,9044,42718,6383,29104,29041,3492.523291
淡水區,20209,127808,23322,82111,89228,2400.302874
深坑區,2255,18298,3110,11848,11815,1149.73249
清水區,12062,62448,12034,44410,42134,1346.716347
莒光鄉,126,1296,216,1002,636,345.5319149
通霄鎮,3361,24278,6660,18134,16165,321.6638881
造橋鄉,1310,9265,2242,6756,6061,269.8457013
魚池鄉,1390,11211,3267,8378,7490,131.3795845
鳥松區,3993,33535,6751,22402,21877,1800.981592
鹿谷鄉,1312,12589,3860,9467,8294,125.4985091
鹿草鄉,1080,10553,3882,8315,7200,286.7894932
鹿野鄉,721,5609,1587,4198,3719,88.64188722
鹿港鎮,13157,61884,11695,44060,42676,2199.531201
麥寮鄉,7000,33489,5186,22912,22763,569.6248322
麻豆區,5092,31226,8122,22581,21859,826.3732436
善化區,7454,34121,7081,24456,24200,874.8194259
富里鄉,960,7041,2357,5616,4742,59.0404858
復興區,1846,8680,1397,6449,5474,32.79856889
湖口鄉,11220,57015,9349,39279,38305,1325.408221
湖內區,3192,22282,4361,15237,14598,1478.213427
湖西鄉,1402,10536,2536,7641,6833,435.6652092
番路鄉,998,8311,2214,6219,5304,98.69229938
莿桐鄉,3177,20522,5097,15079,13717,569.102973
集集鎮,948,7663,2299,5676,5234,219.2781357
新化區,4936,31700,6970,22204,21402,703.0531165
新市區,5289,26954,4514,18392,18365,764.9928048
新店區,29626,222636,49618,145065,156815,2512.686576
新社區,2891,17178,4550,12779,11840,359.3400244
新城鄉,2459,14935,2704,10320,9778,686.3428484
新屋區,5983,35141,8038,26132,23030,575.8051957
新埔鎮,3242,23792,6177,17736,15475,462.8686916
新埤鄉,730,7316,2044,5350,4740,168.3776703
新莊區,58802,314510,43873,203544,213641,21102.32391
新港鄉,3376,22048,6418,16754,15088,483.5010106
新園鄉,3196,26229,5643,18166,16902,921.9569365
新興區,5296,35224,10538,24539,26519,25881.9065
新營區,10171,55555,12132,38535,39323,2023.062592
新豐鄉,9118,41549,6097,29128,27636,1226.24575
暖暖區,4185,29456,4990,19349,19282,1695.614654
