板橋区,219,2016,557068.4069,591153.6536,550437.4621,588449.6875
東村山市,214,2016,269085.3034,273461.4842,235288.4691,274548.3448
東大和市,211,2016,225502.3889,242867.766,202415.1053,233781.15
東久留米市,207,2016,257064.459,284969.6,312239.6667,261806.7407
杉並区,205,2016,672917.5673,680831.5147,703282.4672,693358.7054
昭島市,201,2016,243873.9412,236617.5373,246332.1912,271807.9167
日野市,199,2016,261773.5155,285134.2233,274017.981,250074.3362
新島村,187,2016,8827,9086.5,8874.5,0
新宿区,185,2016,963991.637,898850.3429,1006029.407,936415.0498
文京区,176,2016,950582.3167,962631.2865,911266.1616,1080567.292
府中市,166,2016,383932.7958,444446.3931,473065.3566,441441.6917
小金井市,153,2016,428885.971,473413.3108,445681.8214,441137.4531
小笠原村,152,2016,0,30000,14706,0
小平市,150,2016,323514.8435,306920.4018,322194.7232,332145.8807
大田区,130,2016,677987.8289,685738.4814,714281.3159,723365.4
大島町,123,2016,14380.3571,14836.1429,13015.9167,13129.0323
多摩市,113,2016,340889.2973,253188.4154,323783.9265,309787.2941
墨田区,108,2016,672263.0608,698335.401,703747.0109,778168.1677
国立市,98,2016,414909.7083,448234.6304,481767.439,419934.8837
国分寺市,97,2016,374649.8235,376373.0167,431294.2985,389029.4154
品川区,91,2016,875427.7556,901472.8041,913558.3564,968682.744
台東区,85,2016,868089.5192,923910.193,856278.4892,877935
千代田区,70,2016,1503565.747,1352824.51,1395928.771,1590762.177
北区,61,2016,656852.7676,618736.2761,657428.8111,675490.2335
八王子市,51,2016,238898.3884,223468.9498,243819.4244,230394.6015
八丈町,49,2016,6295.5,12282,3016.2,4374.8571
中野区,26,2016,745788.6728,789892.1238,780675.1106,855955.545
中央区,21,2016,1420492.894,1245725.11,1218293.647,1281987.543
世田谷区,16,2016,730901.1599,766328.3911,754634.7099,758263.2474
三鷹市,14,2016,485741.8306,474328.3039,463986.6989,603388.6579
三宅村,6,2016,3408.6667,9075.6,4673,14083.5
あきる野市,1,2016,107579.1053,125228.8723,129496.5111,123698.26
青梅市,405,2015,146894.2778,155117.3187,163037.8519,127658.2105
足立区,377,2015,347645.9802,332554.5193,377108.385,382350.3021
豊島区,373,2015,788701.9722,809920.1927,783603.2694,786513.3937
調布市,372,2015,469966.9871,432978.0071,462515.5101,443038.5221
西東京市,367,2015,368879.5424,377150.4471,366540.6466,366003.6105
西多摩郡瑞穂町,0,2015,112629.3182,110171,102779.2273,104738.0909
西多摩郡檜原村,0,2015,16829,11518.5,47568,140
西多摩郡日の出町,0,2015,112524.625,77648,82457.3077,67436.7143
西多摩郡奥多摩町,0,2015,18958.5,20588,29474,36859
葛飾区,357,2015,387248.9799,377136.694,372980.484,416874.8933
荒川区,349,2015,566341.4554,518200.843,555647.9011,548316.1034
羽村市,326,2015,203633.3125,204635.75,179178.9412,213259.5667
練馬区,322,2015,496582.75,488418.4152,510245.8029,519655.1218
立川市,312,2015,325882.6552,370679.0442,324896.85,333855.4886
稲城市,311,2015,304520.8148,309103.7568,314627.7111,338644.6122
福生市,307,2015,208280.55,184123.7917,230892.5185,193638.3333
神津島村,306,2015,4045.5,7692,0,0
目黒区,299,2015,885230.5241,892009.6618,983764.027,868090.1618
町田市,295,2015,252288.6392,219340.4653,247554.6239,264852.1959
狛江市,281,2015,432467.0455,389399.8298,412930.5098,405360.8596
港区,265,2015,1373274.403,1394554.891,1539753.797,1323702.845
渋谷区,264,2015,1249120.995,1234598.288,1211638.874,1262169.181
清瀬市,263,2015,268275.4565,243164.5313,278020.05,256677.2609
江東区,253,2015,647060.3175,656617.979,697151.81,734762.8771
江戸川区,252,2015,422662.3413,425654.6923,418804.456,420293.5464
武蔵野市,241,2015,670085.961,696041.1714,741471.6747,746070.5797
武蔵村山市,240,2015,133534.4762,161503.1471,179171.0769,161764.5476
板橋区,219,2015,503398.7742,565114.2778,541259.1703,518916.1891
東村山市,214,2015,262693.4096,249995.9383,279834.119,260309.4032
東大和市,211,2015,283595.1,220574.7561,237423.9773,231225.175
東久留米市,207,2015,248450.1207,257390.0806,253978.0769,255445.5469
杉並区,205,2015,618772.7797,629712.3914,688075.7062,675408.6154
昭島市,201,2015,251139.3387,250447.7463,254486.88,248690.0408
日野市,199,2015,257207.0645,246261.172,273801.6842,254827.5109
新島村,187,2015,0,5000,0,0
新宿区,185,2015,954235.1678,846228.6339,962998.9927,1013873.815
文京区,176,2015,930348.9171,869777.0804,886444.0409,909242.9778
府中市,166,2015,382436.0833,403962.2609,402687.4275,410744.4528
小金井市,153,2015,381677.7188,429475.8933,399589.6286,406966.4286
小笠原村,152,2015,0,18750,44615,32500
小平市,150,2015,342372.5769,299547.9074,307075.7105,347577.2857
大田区,130,2015,665850.818,645144.7534,660767.9897,670790.4131
大島町,123,2015,5929,7213.6667,5389.5714,17104
多摩市,113,2015,280187.5143,281753.5195,283641.5085,292533.0704
墨田区,108,2015,684990.1386,665348.5359,684958.0314,669040.8154
国立市,98,2015,443557.5814,482110.1739,384245.4091,402055.0208
国分寺市,97,2015,392468.0441,370441.622,320845.7805,354447.9651
品川区,91,2015,845910.9522,876797.9594,838675.8555,848721.3854
台東区,85,2015,868614.7542,783965.0823,783216.7364,883122.6
千代田区,70,2015,1291900.196,1216997.546,1664948.212,1707079.659
北区,61,2015,590218.5028,549899.5412,600942.7692,604025.8362
八王子市,51,2015,237313.5728,212804.6047,220299.8163,203917.9343
八丈町,49,2015,10974.8,7712.5,6631.6,11300.1111
中野区,26,2015,629285.463,680170.5789,682864.2903,715723.6263
中央区,21,2015,1400335.434,1071499.379,1076130.891,1466181.107
世田谷区,16,2015,687062.7443,712430.7556,722799.3246,712524.7033
三鷹市,14,2015,443737.1746,442227.9583,472617.7075,432118.1807
三宅村,6,2015,0,5242,6278,5100.8333
あきる野市,1,2015,144661.7872,131612.2826,105848.7105,129165.0313
青梅市,405,2014,152021.4756,149731.5222,138616.5897,125388.3444
足立区,377,2014,322597.1068,350148.4628,342781.3144,345942.7346
豊島区,373,2014,708967.7813,719878.2056,772331.8846,708336.7314
調布市,372,2014,418627.4211,491201.699,442631.6959,446959.2282
西東京市,367,2014,384208.4063,375777.7184,370075.4954,371309.3486
西多摩郡瑞穂町,0,2014,125935.75,142826.3333,171538.4762,87434.2
西多摩郡檜原村,0,2014,17917,0,23924.5,11875
西多摩郡日の出町,0,2014,110733.1111,76529.2,119218.3333,124348.7333
西多摩郡奥多摩町,0,2014,9022.3333,0,5244.3333,10039.3333
葛飾区,357,2014,346223.749,352613.5648,359030.4045,382696.0314
